feature,importance
RSQR5,39
ROC5,38
KLOW,37
RESI5,34
STD60,34
CORR60,34
CORR5,34
RESI30,33
WVMA60,31
RSQR60,30
VMA5,30
LOW0,29
ROC60,29
STD10,28
WVMA10,28
CORR20,28
CORD5,28
CORD10,28
BETA60,25
IMXD60,24
MIN60,24
RESI60,24
STD5,24
WVMA5,24
VMA10,23
MA60,23
KLEN,22
MAX5,22
RESI20,22
CORD30,22
CORD60,22
KMID,22
VSTD5,21
CORR30,21
BETA20,21
BETA5,21
MIN5,21
KLOW2,21
KMID2,20
IMIN60,20
RSV10,19
IMAX60,19
VSTD60,19
QTLU5,19
WVMA20,19
VSTD10,19
KSFT,19
KUP2,18
WVMA30,18
RSQR30,18
VSTD20,18
MIN10,17
CORD20,17
RSV60,17
RSQR10,17
QTLD60,16
MIN30,16
KUP,16
STD30,16
RSQR20,16
ROC20,15
VMA20,15
MIN20,15
VMA30,15
QTLD20,15
SUMP30,14
VSUMP20,14
MAX10,14
ROC30,14
HIGH0,14
MAX30,13
RESI10,13
IMAX20,13
SUMN20,13
RSV20,12
VSTD30,12
KSFT2,12
MAX20,12
VSUMP60,12
MA5,12
VSUMN60,12
QTLU30,12
QTLD5,12
RSV30,11
VSUMP5,11
SUMP20,11
MA30,11
RSV5,11
CNTP60,10
BETA30,10
SUMP60,10
VSUMP10,10
QTLU10,10
IMAX30,10
VSUMP30,10
SUMP10,10
SUMP5,10
SUMD20,9
SUMN5,9
CNTD60,9
VSUMN20,9
QTLD10,9
CORR10,9
OPEN0,9
MAX60,9
VMA60,8
STD20,8
SUMN10,8
BETA10,8
QTLU60,8
VSUMN30,8
VSUMD30,8
IMAX10,8
ROC10,7
QTLD30,7
RANK20,7
VSUMN10,7
QTLU20,7
CNTN60,7
IMIN20,7
IMXD20,7
SUMN60,7
VSUMD10,6
CNTP10,6
CNTD30,6
CNTD5,6
IMIN30,6
SUMD60,6
IMIN10,5
IMXD10,5
CNTP30,5
IMIN5,5
IMXD5,5
IMXD30,5
VSUMD60,5
CNTD10,5
SUMN30,5
SUMD5,5
IMAX5,4
RANK60,4
MA10,4
CNTN5,4
VSUMD5,4
MA20,4
VSUMN5,4
SUMD10,4
CNTN30,3
CNTN20,3
CNTD20,3
SUMD30,3
RANK30,2
RANK10,2
CNTP5,2
CNTP20,2
CNTN10,2
RANK5,1
VSUMD20,1
VWAP0,0
